tagname;timestamp;average;min;max
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-03-16 15:58:49;-1.0998382924902061;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-03-17 01:00:00;49.981517974537034;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-03-19 01:00:00;0;0;0;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-03-21 01:00:00;0;0;0;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-03-21 01:00:00;49.98231045138889;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-03-23 01:00:00;49.98136076967592;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-03-25 01:00:00;24.99110675925926;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-03-27 01:00:00;24.99109451388889;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-03-29 02:00:00;49.982096255787035;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-03-31 02:00:00;49.98235075810185;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-04-02 02:00:00;0;0;0;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-04-04 02:00:00;0;0;0;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-04-04 02:00:00;48.132688871527776;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-04-06 02:00:00;49.98295072337963;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-04-08 02:00:00;49.98188462384259;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-04-10 02:00:00;49.98237244212963;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-04-12 02:00:00;68.72596052083334;0;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-04-14 02:00:00;100;100;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-04-18 02:00:00;100;100;100;
3602_RH_Lvl@KLP - Sluppenvegen 12E;2022-04-18 02:00:00;75.33866300925926;0;100;
