tagname;timestamp;average;min;max
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-08-22 02:00:00;12.621420042824072;8.3;16.5;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-08-23 02:00:00;13.987356202546298;8.3;19.5;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-08-24 02:00:00;16.96586481597222;10.3;23.2;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-08-25 02:00:00;19.85841590740741;16.1;24;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-08-26 02:00:00;17.47016123263889;13;21.1;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-08-27 02:00:00;13.850657925925926;10.3;16.9;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-08-28 02:00:00;12.009143430555557;9.2;14.8;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-08-29 02:00:00;12.276728284722221;0;15.6;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-08-30 02:00:00;12.214919524305555;8.8;15.5;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-08-31 02:00:00;11.005795443287036;6.3;15.2;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-01 02:00:00;12.155548579861113;7.7;15.9;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-02 02:00:00;11.868230072916665;6.1;17.3;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-03 02:00:00;11.318301739583335;6.5;16.3;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-04 02:00:00;12.343691717592593;5.3;19.7;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-05 02:00:00;11.819690868055556;6;17.7;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-06 02:00:00;11.122502043981482;5.7;16.6;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-07 02:00:00;10.14434939699074;4.3;15.9;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-08 02:00:00;11.660162603009258;5.5;18.1;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-09 02:00:00;12.438900871527776;5.8;19.6;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-10 02:00:00;10.180655739583331;4.9;15.4;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-11 02:00:00;10.838345591435184;6.9;14.9;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-12 02:00:00;11.921193798611112;7.7;15;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-13 02:00:00;12.434007542824075;0;13.8;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-14 02:00:00;11.340947620370372;8.5;13.2;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-15 02:00:00;10.743268780092594;7.7;13.4;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-16 02:00:00;10.969418894675925;9.7;12.1;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-17 02:00:00;10.512039028935185;9.7;12.1;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-18 02:00:00;10.28869607638889;8.7;12.2;
AdvWeatherInfoFN1.temperature@KLP - Sluppenvegen 12E;2022-09-19 02:00:00;9.08037420486111;6.2;11.3;
